"GeneName","Start","Stop","Chromosome"
"OR4F5",1,571585,"1"
"OR4F29",1,951678,"1"
"OR4F16",185716,1186654,"1"
"SAMD11",423923,1444575,"1"
"NOC2L",444203,1459309,"1"
"KLHL17",460584,1465719,"1"
"PLEKHN1",466482,1475865,"1"
"PERM1",475198,1482117,"1"
"HES4",498962,1500172,"1"
"ISG15",501138,1514540,"1"
"AGRN",520120,1556118,"1"
"RNF223",570967,1574306,"1"
"C1orf159",581818,1616361,"1"
"TTLL10",673880,1697936,"1"
"TNFRSF18",703508,1706592,"1"
"TNFRSF4",711326,1714153,"1"
"SDF4",716931,1732031,"1"
"B3GALT6",732237,1735041,"1"
"C1QTNF12",742446,1746722,"1"
"UBE2J2",753909,1773864,"1"
"SCNN1D",780436,1792029,"1"
"ACAP3",792390,1809609,"1"
"PUSL1",808597,1811677,"1"
"INTS11",811585,1824687,"1"
"CPTP",824756,1828896,"1"
"TAS1R3",831280,1835314,"1"
"DVL1",835276,1849418,"1"
"MXRA8",852689,1861777,"1"
"AURKAIP1",873730,1875207,"1"
"CCNL2",885711,1899335,"1"
"MRPL20",901909,1907293,"1"
"ANKRD65",918420,1921769,"1"
"TMEM88B",925871,1930255,"1"
"VWA1",934861,1942882,"1"
"ATAD3C",949689,1970163,"1"
"ATAD3B",971765,1997848,"1"
"ATAD3A",1012162,2034685,"1"
"TMEM240",1034778,2040624,"1"
"SSU72",1041673,2074863,"1"
"FNDC10",1098012,2100135,"1"
"MIB2",1115454,2130605,"1"
"MMP23B",1132163,2135263,"1"
"CDK11B",1135225,2159012,"1"
"SLC35E2B",1159529,2192795,"1"
"CDK11A",1202379,2224357,"1"
"NADK",1251232,2280457,"1"
"GNB1",1285285,2392292,"1"
"CALML6",1415108,2417296,"1"
"TMEM52",1417590,2419279,"1"
"CFAP74",1421951,2503837,"1"
"GABRD",1519329,2530758,"1"
"PRKCZ",1550411,2685395,"1"
"FAAP20",1684461,2712720,"1"
"SKI",1727388,2810213,"1"
"MORN1",1821253,2891707,"1"
"RER1",1891775,2905442,"1"
"PEX10",1903964,2913797,"1"
"PLCH2",1925980,3005532,"1"
"PANK4",2008537,3026597,"1"
"HES5",2028745,3030263,"1"
"TNFRSF14",2055639,3065382,"1"
"PRXL2B",2086491,3091469,"1"
"MMEL1",2090639,3133016,"1"
"TTC34",2136986,3301693,"1"
"ACTRT2",2521467,3522903,"1"
"PRDM16",2569168,3938621,"1"
"ARHGEF16",2954665,3981113,"1"
"MEGF6",2987951,4111508,"1"
"TPRG1L",3125015,4130127,"1"
"WRAP73",3130767,4152761,"1"
"TP73",3152516,4236201,"1"
"CCDC27",3246460,4271645,"1"
"SMIM1",3272749,4275982,"1"
"LRRC47",3278559,4296498,"1"
"CEP104",3312086,4357396,"1"
"DFFB",3357267,4385429,"1"
"C1orf174",3389125,4400293,"1"
"AJAP1",4154609,5292534,"1"
"NPHP4",5362811,6492473,"1"
"KCNAB2",5490927,6601193,"1"
"CHD5",5601787,6680321,"1"
"RPL22",5685020,6709389,"1"
"RNF207",5705475,6721299,"1"
"ICMT",5721193,6735972,"1"
"HES3",5744179,6745578,"1"
"GPR153",5747353,6761098,"1"
"ACOT7",5764269,6893767,"1"
"HES2",5912418,6924670,"1"
"ESPN",5924776,6961367,"1"
"TNFRSF25",5960786,6966175,"1"
"PLEKHG5",5967122,7020074,"1"
"NOL9",6021347,7054513,"1"
"TAS1R1",6055307,7079755,"1"
"ZBTB48",6079994,7089280,"1"
"KLHL21",6090724,7114607,"1"
"PHF13",6113731,7124030,"1"
"THAP3",6124868,7135586,"1"
"DNAJC11",6134168,7201924,"1"
"CAMTA1",6285454,8269706,"1"
"VAMP3",7271296,8281432,"1"
"PER3",7284291,8345177,"1"
"UTS2",7343083,8353512,"1"
"TNFRSF9",7415871,8443165,"1"
"PARK7",7454291,8485505,"1"
"ERRFI1",7504404,8526309,"1"
"SLC45A1",7818114,8844167,"1"
"RERE",7852397,9348921,"1"
"ENO1",8361000,9379190,"1"
"CA6",8445867,9475092,"1"
"SLC2A7",8502973,9526423,"1"
"SLC2A5",8535106,9588478,"1"
"GPR157",8600305,9629102,"1"
"H6PD",8734774,9771337,"1"
"SPSB1",8792894,9869532,"1"
"SLC25A33",9039465,10085173,"1"
"TMEM201",9088911,10114877,"1"
"PIK3CD",9129889,10229114,"1"
"CLSTN1",9228926,10323984,"1"
"CTNNBIP1",9348276,10410336,"1"
"LZIC",9422113,10443407,"1"
"NMNAT1",9443428,10485501,"1"
"RBP7",9497206,10516021,"1"
"UBE4B",9532832,10681239,"1"
"KIF1B",9710570,10881603,"1"
"PGD",9898592,10920511,"1"
"CENPS-CORT",9930102,10952153,"1"
"CENPS",9930433,10942808,"1"
"CORT",9950031,10951998,"1"
"DFFA",9956522,10972529,"1"
"PEX14",9972288,11130758,"1"
"CASZ1",10136604,11296650,"1"
"C1orf127",10446471,11482076,"1"
"TARDBP",10512344,11530528,"1"
"MASP2",10522009,11547239,"1"
"SRM",10554584,11560020,"1"
"EXOSC10",10566618,11599869,"1"
"MTOR",10606535,11762556,"1"
"ANGPTL7",10689355,11695981,"1"
"UBIAD1",10773198,11796049,"1"
"DISP3",10979155,12037551,"1"
"FBXO2",11137018,12155785,"1"
"FBXO44",11154375,12163327,"1"
"MAD2L2",11158918,12191811,"1"
"FBXO6",11164200,12174354,"1"
"DRAXIN",11191710,12225857,"1"
"AGTRAP",11236084,12254802,"1"
"C1orf167",11261787,12289585,"1"
"MTHFR",11285723,12306455,"1"
"CLCN6",11306096,12348079,"1"
"NPPA",11345709,12348345,"1"
"NPPB",11357464,12358945,"1"
"KIAA2013",11419591,12426428,"1"
"PLOD1",11434205,12475538,"1"
"MFN2",11480181,12515211,"1"
"MIIP",11519466,12532045,"1"
"TNFRSF8",11563303,12644207,"1"
"TNFRSF1B",11666991,12709228,"1"
"VPS13D",11730030,13012047,"1"
"DHRS3",12067910,13118210,"1"
"AADACL4",12144085,13167076,"1"
"AADACL3",12216110,13228760,"1"
"CFAP107",12246200,13263699,"1"
"PRAMEF12",12273738,13277906,"1"
"PRAMEF1",12291397,13296628,"1"
"PRAMEF11",12324605,13331410,"1"
"HNRNPCL1",12347377,13348720,"1"
"PRAMEF2",12357086,13361909,"1"
"PRAMEF4",12379212,13386201,"1"
"PRAMEF10",12392896,13398270,"1"
"PRAMEF7",12416610,13420751,"1"
"PRAMEF6",12438472,13447580,"1"
"PRAMEF27",12549476,13556575,"1"
"HNRNPCL3",12560769,13562878,"1"
"PRAMEF25",12568677,13577884,"1"
"HNRNPCL2",12615488,13616854,"1"
"PRAMEF26",12648905,13658116,"1"
"HNRNPCL4",12663914,13665631,"1"
"PRAMEF9",12671848,13679459,"1"
"PRAMEF13",12696188,13701409,"1"
"PRAMEF18",12722695,13726154,"1"
"PRAMEF5",12754198,13763435,"1"
"PRAMEF8",12781304,13785137,"1"
"PRAMEF33",12803539,13808907,"1"
"PRAMEF15",12815581,13822598,"1"
"PRAMEF14",12841892,13847134,"1"
"PRAMEF19",12868431,13871947,"1"
"PRAMEF17",12889632,13892629,"1"
"PRAMEF20",12910450,13921328,"1"
"LRRC38",12974973,14014003,"1"
"PDPN",13083465,14117957,"1"
"PRDM2",13200188,14325079,"1"
"KAZN",13392792,15618043,"1"
"TMEM51",14652532,15720478,"1"
"FHAD1",14736521,15900283,"1"
"EFHD2",14909888,15930339,"1"
"CTRC",14938442,15949242,"1"
"CELA2A",14956728,15972091,"1"
"CELA2B",14965909,15991395,"1"
"CASP9",14990832,16026534,"1"
"DNAJC16",15026813,16092379,"1"
"AGMAT",15071699,16085051,"1"
"DDI2",15117458,16169044,"1"
"RSC1A1",15159713,16162033,"1"
"PLEKHM2",15184320,16234769,"1"
"SLC25A34",15236258,16241392,"1"
"TMEM82",15242499,16247982,"1"
"FBLIM1",15256607,16286594,"1"
"UQCRHL",15307169,16309348,"1"
"SPEN",15336095,16440456,"1"
"ZBTB17",15441869,16476132,"1"
"SRARP",15504236,16508807,"1"
"HSPB7",15514028,16519594,"1"
"CLCNKA",15518875,16534050,"1"
"CLCNKB",15540252,16557311,"1"
"FAM131C",15557769,16573651,"1"
"EPHA2",15624337,16656069,"1"
"ARHGEF19",15697854,16712652,"1"
"CPLANE2",15731692,16737183,"1"
"FBXO42",15746840,16852480,"1"
"SZRD1",15852575,16898145,"1"
"SPATA21",15887117,16937424,"1"
"NECAP2",15940721,16960078,"1"
"NBPF1",16062319,17113562,"1"
"CROCC",16240273,17472964,"1"
"MFAP2",16474502,17480632,"1"
"ATP13A2",16485958,17511928,"1"
"SDHB",16518664,17554032,"1"
"PADI2",16566761,17619451,"1"
"PADI1",16705128,17746007,"1"
"PADI3",16749098,17784233,"1"
"PADI4",16808195,17864004,"1"
"PADI6",16872196,17901699,"1"
"RCC2",16906760,17939677,"1"
"ARHGEF10L",17039698,18197874,"1"
"ACTL8",17255333,18327063,"1"
"IGSF21",17607798,18878483,"1"
"KLHDC7A",17980930,18985974,"1"
"PAX7",18130846,19248866,"1"
"TAS1R2",18339599,19359660,"1"
"ALDH4A1",18371430,19402724,"1"
"IFFO2",18404280,19456676,"1"
"UBR4",18574510,19710266,"1"
"EMC1",18715660,19751552,"1"
"MRTO4",18751805,19760128,"1"
"AKR7L",18765982,19774194,"1"
"AKR7A3",18782573,19788770,"1"
"AKR7A2",18803965,19812144,"1"
"SLC66A1",18812326,19829300,"1"
